TC_ID,2018_Total_A,2018_Can_A,2018_LowVeg_A,2018_Barren_A,2018_Water_A,2018_Build_A,2018_Road_A,2018_Shrub_A,2018_Wetlands_A,2018_Imperv_A,2013_Total_A,2013_Can_A,2013_LowVeg_A,2013_Barren_A,2013_Water_A,2013_Build_A,2013_Road_A,2013_Shrub_A,2013_Wetlands_A,2013_Imperv_A,Can_PChange,LowVeg_Pchange,Barren_Pchange,Water_Pchange,Build_Pchange,Road_Pchange,Shrub_Pchange,Wetlands_Pchange,Imperv_Pchange
126,1797,1547,0,0,250,0,0,0,0,0,1797,1547,0,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,1801,1366,435,0,0,0,0,0,0,0,1801,1366,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,15298,15298,0,0,0,0,0,0,0,0,15298,15298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,1800,1774,26,0,0,0,0,0,0,0,1800,1774,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,8101,8101,0,0,0,0,0,0,0,0,8101,8101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,1801,1525,0,0,276,0,0,0,0,0,1801,1525,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,15299,15294,5,0,0,0,0,0,0,0,15299,15294,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,1799,1799,0,0,0,0,0,0,0,0,1799,1799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,6295,6004,233,0,0,0,58,0,0,0,6295,5998,239,0,0,0,58,0,0,0,0.100033344,-2.510460251,0,0,0,0,0,0,0
135,904,904,0,0,0,0,0,0,0,0,904,904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,902,91,589,0,0,106,103,0,0,13,902,287,421,0,0,78,103,0,0,13,-68.29268293,39.90498812,0,0,35.8974359,0,0,0,0
137,2699,2699,0,0,0,0,0,0,0,0,2699,2699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,900,675,225,0,0,0,0,0,0,0,900,675,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,1799,1365,406,0,0,0,0,0,0,28,1799,1356,415,0,0,0,0,0,0,28,0.663716814,-2.168674699,0,0,0,0,0,0,0
140,17095,17095,0,0,0,0,0,0,0,0,17095,17095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
