CPFA,MUN_CODE,MUN_NAME,RUVI_CODE,RUVI_NAME,COMMENT_,ACRES,JURSCODE,STATE_ELIGIBLE,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Change_Acres,LowVeg_Change_Acres,Barren_Change_Acres,Water_Change_Acres,Buildings_Change_Acres,Road_Change_Acres,Shrub_Change_Acres,Wetlands_Change_Acres,Impervious_Change_Acres,Forest_Change,Forest_Change_Acres,NonForest_Change_Acres
IN,MUN,RIVERDALE PARK, , ,NO,7.98124259,PRIN,YES,47,-0.610096005,0.672034686,0,0,0,-0.052647879,0,0,-0.009290802,-0.048679685,0.053621785,0,0,0,-0.004200785,0,0,-0.000741315,0,0,0
IN,MUN,EDMONSTON, , ,NO,100.8827684,PRIN,YES,48,-1.620598277,1.494712299,0,0,-0.031349037,-0.050697271,-0.000489829,0,0.208422115,-1.635093785,1.508081815,0,0,-0.03162944,-0.051150735,-0.00049421,0,0.210286355,0,0,0
IN,,, , ,NO,5.92338696,PRIN,YES,49,-2.528054733,1.147219557,0,0,0,-0.037545367,0,0,1.418380543,-0.14974563,0.067953875,0,0,0,-0.002223945,0,0,0.0840157,0,0,0
IN,,, , ,NO,68.54653057,PRIN,YES,50,-1.356587052,-0.785335597,1.975412761,0,0,-0.001081233,-0.000360411,0,0.167951532,-0.93010322,-0.538441795,1.354382505,0,0,-0.000741315,-0.000247105,0,0.11515093,0,0,0
IN,MUN,NEW CARROLLTON, , ,NO,33.17221702,PRIN,YES,51,-2.418694039,1.988886075,0,0,0,-0.031285848,0,0,0.461093813,-0.802349935,0.65977035,0,0,0,-0.01037841,0,0,0.152957995,0,0,0
IN,MUN,RIVERDALE PARK, , ,NO,2.10315282,PRIN,YES,52,0.152743508,-0.18799201,0,0,0,0,0,0,0.035248502,0.003212365,-0.00395368,0,0,0,0,0,0,0.000741315,0,0,0
IN,MUN,EDMONSTON, , ,NO,133.9985711,PRIN,YES,53,-3.002319689,2.520126716,0.042779644,0,-0.000553185,-0.042964039,-0.000553185,0,0.483483738,-4.02336361,3.377184035,0.05732836,0,-0.000741315,-0.057575465,-0.000741315,0,0.64790931,-535.1696918,-0.132243107,-3.891120503
IN,MUN,RIVERDALE PARK, , ,NO,1.35950831,PRIN,YES,54,-3.200581924,3.073286052,0,0,0,0,0,0,0.127295872,-0.04349048,0.041760745,0,0,0,0,0,0,0.001729735,0,0,0
IN,MUN,RIVERDALE PARK, , ,NO,0.72088634,PRIN,YES,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,MUN,BLADENSBURG, , ,NO,349.86786,PRIN,YES,56,-4.983452993,2.650840486,0.023446891,0,0.205160293,-0.023164398,-7.06E-05,0,2.127240343,-17.43671722,9.275086175,0.08203886,0,0.717840025,-0.08105044,-0.000247105,0,7.443049705,-4308.34088,-1.064612573,-16.37210465
IN,MUN,MOUNT RAINIER, , ,NO,8.17849145,PRIN,YES,57,-0.592359768,-0.686049323,1.217964217,0,0,0,0,0,0.060444874,-0.04843258,-0.056092835,0.099583315,0,0,0,0,0,0.0049421,0,0,0
IN,,, , ,NO,9.36836453,PRIN,YES,58,-10.60334371,7.027582933,0.134486578,0,0,-0.005273983,0,0,3.446548178,-0.993609205,0.658534825,0.012602355,0,0,-0.00049421,0,0,0.322966235,0,0,0
IN,MUN,HYATTSVILLE, , ,NO,3.27875233,PRIN,YES,59,-3.332579356,3.08376687,0,0,0,0,0,0,0.248812486,-0.10922041,0.101065945,0,0,0,0,0,0,0.008154465,0,0,0
IN,MUN,MOUNT RAINIER, , ,NO,3.67399907,PRIN,YES,60,-0.248639204,0.396478731,0,0,0,0,0,0,-0.147839527,-0.009142885,0.014579195,0,0,0,0,0,0,-0.00543631,0,0,0
IN,MUN,EDMONSTON, , ,NO,6.86025411,PRIN,YES,61,-0.482569865,0.44295592,0,0,0,0,0,0,0.039613944,-0.03311207,0.030393915,0,0,0,0,0,0,0.002718155,0,0,0
IN,MUN,EDMONSTON, , ,NO,10.85520526,PRIN,YES,62,-5.694128357,5.325443787,0,0,0,0,0,0,0.36868457,-0.61825671,0.5782257,0,0,0,0,0,0,0.04003101,0,0,0
IN,MUN,EDMONSTON, , ,NO,0.58947816,PRIN,YES,63,-17.21242653,17.170445,0,0,0,0,0,0,0.041981528,-0.10131305,0.101065945,0,0,0,0,0,0,0.000247105,0,0,0
IN,MUN,EDMONSTON, , ,NO,1.1582828,PRIN,YES,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,MUN,EDMONSTON, , ,NO,2.20748565,PRIN,YES,65,-10.00671592,9.805238415,0,0,0,0,0,0,0.201477502,-0.22091187,0.21646398,0,0,0,0,0,0,0.00444789,0,0,0
IN,,, , ,NO,5.74293873,PRIN,YES,66,-2.401859504,2.393250689,0,0,0,0,0,0,0.008608815,-0.13788459,0.13739038,0,0,0,0,0,0,0.00049421,0,0,0
IN,,, , ,NO,30.06940262,PRIN,YES,67,-5.291778931,4.232930275,0,0,0,-0.069823224,-0.00082145,0,1.12949333,-1.59185041,1.273332065,0,0,0,-0.021003925,-0.000247105,0,0.339769375,0,0,0
IN,MUN,BRENTWOOD, , ,NO,15.93034005,PRIN,YES,68,-3.366011044,2.922380096,0,0,0,-0.097722901,0,0,0.54135385,-0.53621785,0.46554582,0,0,0,-0.015567615,0,0,0.086239645,0,0,0
IN,MUN,HYATTSVILLE, , ,NO,18.66667913,PRIN,YES,69,-0.953124793,0.878992865,0,0,0,0,0,0,0.074131928,-0.1779156,0.16407772,0,0,0,0,0,0,0.01383788,0,0,0
IN,,, , ,NO,2.80884533,PRIN,YES,70,-1.198132323,1.039555986,0,0,0,0,0,0,0.158576337,-0.03360628,0.02915839,0,0,0,0,0,0,0.00444789,0,0,0
IN,,, , ,NO,127.1000854,PRIN,YES,71,-1.045886826,0.931383603,0,0,-0.076594686,-0.006609694,0,0,0.197707603,-1.3294249,1.183880055,0,0,-0.09735937,-0.00840157,0,0,0.251305785,-649.0993741,-0.160395701,-1.169029199
IN,,, , ,NO,502.7912991,PRIN,YES,72,-1.359848211,-0.262121652,0,0,0.102755226,-0.100347284,-0.014595075,0,1.634156997,-6.83788956,-1.31805807,0,0,0.516696555,-0.50458841,-0.073390185,0,8.21722967,-139.4139533,-0.034449885,-6.803439675
IN,MUN,MOUNT RAINIER, , ,NO,123.2986229,PRIN,YES,73,-4.234090349,3.529711174,0,0,0.126447584,-0.051500839,0,0,0.629432429,-5.221081545,4.35250747,0,0,0.155923255,-0.063505985,0,0,0.776156805,0,0,0
IN,,, , ,NO,2.15657174,PRIN,YES,74,-12.06185567,12.26804124,0,0,0,-0.355097365,0,0,0.148911798,-0.260201565,0.264649455,0,0,0,-0.007660255,0,0,0.003212365,0,0,0
IN,,, , ,NO,0.51888006,PRIN,YES,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,MUN,MOUNT RAINIER, , ,NO,30.09229625,PRIN,YES,76,-4.549634617,4.331225881,0,0,0,-0.096888086,0,0,0.315296822,-1.369208805,1.303478875,0,0,0,-0.02915839,0,0,0.09488832,0,0,0
IN,MUN,GLENARDEN, , ,NO,154.3660162,PRIN,YES,77,-3.983072143,2.737011599,-0.287306188,0,0,-0.03233195,-0.002560947,0,1.568259629,-6.149207925,4.2254955,-0.443553475,0,0,-0.04991521,-0.00395368,0,2.42113479,0,0,0
IN,MUN,BLADENSBURG, , ,NO,72.82666705,PRIN,YES,78,-3.315307002,2.942792973,0,0,0,-0.026462745,-0.000678532,0,0.399655306,-2.41471006,2.14338877,0,0,0,-0.01927419,-0.00049421,0,0.29108969,-608.6243554,-0.150394121,-2.264315939
IN,MUN,BRENTWOOD, , ,NO,2.54260754,PRIN,YES,79,-1.720785534,2.304102664,0,0,0,-0.534707369,0,0,-0.048609761,-0.043737585,0.058563885,0,0,0,-0.013590775,0,0,-0.001235525,0,0,0
IN,,, , ,NO,1330.232809,PRIN,YES,80,-3.886826623,1.133814099,0.728745165,-0.001560244,0.189476715,0.205747826,-0.016066793,0,1.646669855,-51.70869809,15.08378341,9.69491757,-0.02075682,2.520718105,2.737182085,-0.213745825,0,21.90659957,-18114.81948,-4.476262469,-47.23243562
IN,MUN,MOUNT RAINIER, , ,NO,42.16560316,PRIN,YES,81,-4.147840814,3.492671835,0,0,0,-0.092004946,0,0,0.747173925,-1.74900919,1.4727458,0,0,0,-0.038795485,0,0,0.315058875,0,0,0
IN,,, , ,NO,1.05200615,PRIN,YES,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,MUN,CHEVERLY, , ,NO,7.73441658,PRIN,YES,83,-3.832385092,3.576679665,0,0,0,-0.038355814,0,0,0.294061241,-0.296278895,0.276510495,0,0,0,-0.00296526,0,0,0.02273366,0,0,0
IN,,, , ,NO,2.41682891,PRIN,YES,84,-6.574642127,5.715746421,0,0,0,0,0,0,0.858895706,-0.158888515,0.138131695,0,0,0,0,0,0,0.02075682,0,0,0
IN,MUN,MOUNT RAINIER, , ,NO,6.46965491,PRIN,YES,85,-3.115930961,2.501145563,0,0,0,0,0,0,0.614785398,-0.20163768,0.161853775,0,0,0,0,0,0,0.039783905,0,0,0
IN,MUN,MOUNT RAINIER, , ,NO,1.33614428,PRIN,YES,86,-0.666296502,0.666296502,0,0,0,0,0,0,0,-0.00889578,0.00889578,0,0,0,0,0,0,0,0,0,0
IN,,, , ,NO,11.32674725,PRIN,YES,87,-2.724635152,2.34506228,0,0,0,-0.122161384,0,0,0.501734255,-0.308634145,0.265637875,0,0,0,-0.01383788,0,0,0.05683415,1.02E-12,0,-0.308634145
IN,MUN,GLENARDEN, , ,NO,206.6786987,PRIN,YES,88,-4.764472265,-0.372760508,9.473711896,0.382324601,-1.432581516,-0.009564093,-0.04542944,0,-3.231228675,-9.847875565,-0.77047339,19.58158862,0.79024179,-2.961059215,-0.0197684,-0.0938999,0,-6.67875394,-134.916729,-0.033338598,-9.814536967
IN,MUN,CHEVERLY, , ,NO,0.74380951,PRIN,YES,89,-1.662234043,1.097074468,0,0,0,0,0,0,0.565159574,-0.01235525,0.008154465,0,0,0,0,0,0,0.004200785,0,0,0
IN,,, , ,NO,0.56615314,PRIN,YES,90,0.349192492,-0.349192492,0,0,0,0,0,0,0,0.00197684,-0.00197684,0,0,0,0,0,0,0,0,0,0
IN,MUN,GLENARDEN, , ,NO,45.43481408,PRIN,YES,91,-0.684115789,0.165862731,0,0,0,-0.010876245,0,0,0.529129302,-0.31085809,0.075367025,0,0,0,-0.0049421,0,0,0.240433165,0,0,0
IN,,, , ,NO,1.03456009,PRIN,YES,92,-12.11180124,7.596751075,0,0,0,-0.430004778,0,0,4.945054945,-0.125282235,0.07857939,0,0,0,-0.00444789,0,0,0.051150735,0,0,0
IN,,, , ,NO,63.18503941,PRIN,YES,93,-2.905533026,2.597773337,0.072736089,0,0,-0.046926509,-0.004692651,0,0.28664276,-1.83599015,1.641518515,0.04596153,0,0,-0.0296526,-0.00296526,0,0.181127965,-359.7779441,-0.088902929,-1.747087221
IN,MUN,CHEVERLY, , ,NO,1.8605015,PRIN,YES,94,-5.122760451,4.671532847,0,0,0,0,0,0,0.451227605,-0.09538253,0.08698096,0,0,0,0,0,0,0.00840157,0,0,0
