GENZONE,JURSCODE,ZONING,MUNICIPALITY_NAME,ACRES,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Area_Acres_Change,LowVeg_Area_Acres_Change,Barren_Area_Acres_Change,Water_Area_Acres_Change,Buildings_Area_Acres_Change,Road_Area_Acres_Change,Shrub_Area_Acres_Change,Wetlands_Area_Acres_Change,Impervious_Area_Acres_Change,TC_OutsideForest_A_Acres_2013,TC_InsideForest_A_Acres_2013,TC_OutsideForest_A_Acres_2018,TC_InsideForest_A_Acres_2018,TC_InsideForestChange_acres,TC_OutsideForestChange_acres
COMMERCIAL,CARR,C-1,,0.37617755,4911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062517666,0,0.062517666,0,0,0
COMMERCIAL,CARR,C-1,,0.37590082,4912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175691939,0,0.175691939,0,0,0
COMMERCIAL,CARR,C-2,,0.95986923,4913,0.283213182,-0.283213182,0,0,0,0,0,0,0,0.002718159,-0.002718159,0,0,0,0,0,0,0,0.40129917,0,0.404017329,0,0,0.002718159
COMMERCIAL,CARR,C-1,,0.65938683,4914,0.337711069,-0.337711069,0,0,0,0,0,0,0,0.002223949,-0.002223949,0,0,0,0,0,0,0,0.11762217,0,0.119846119,0,0,0.002223949
COMMERCIAL,CARR,C-1,,0.27870522,4915,0.177304965,0,0,0,-0.177304965,0,0,0,0,0.000494211,0,0,0,-0.000494211,0,0,0,0,0,0,0.000494211,0,0,0.000494211
COMMERCIAL,CARR,C-1,,0.22278173,4916,-0.442967885,0,0,0,0,0,0,0,0.442967885,-0.000988422,0,0,0,0,0,0,0,0.000988422,0.076602674,0,0.075614252,0,0,-0.000988422
COMMERCIAL,CARR,C-1,,0.2916544,4917,2.205258694,-8.057675997,0,0,-0.084817642,0,0,0,5.937234945,0.00642474,-0.023475013,0,0,-0.000247105,0,0,0,0.017297378,0.063753193,0,0.070177934,0,0,0.00642474
COMMERCIAL,CARR,C-1,,0.36718466,4918,1.143241426,-2.084734364,0,0,0,0,0,0,0.941492939,0.004200792,-0.007660267,0,0,0,0,0,0,0.003459476,0.009884216,0,0.014085008,0,0,0.004200792
COMMERCIAL,CARR,C-1,,0.37870885,4919,-1.109660574,1.109660574,0,0,0,0,0,0,0,-0.004200792,0.004200792,0,0,0,0,0,0,0,0.018532905,0,0.014332113,0,0,-0.004200792
COMMERCIAL,CARR,C-1,,1.27673658,4920,0.812850784,-0.387071802,0,0,-0.387071802,0,0,0,-0.03870718,0.010378427,-0.004942108,0,0,-0.004942108,0,0,0,-0.000494211,0.09562979,0,0.106008217,0,0,0.010378427
COMMERCIAL,CARR,C-1,,0.41647119,4921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019274221,0,0.019274221,0,0,0
COMMERCIAL,CARR,C-1,,1.26579629,4922,1.073589694,-1.073589694,0,0,0,0,0,0,0,0.013590797,-0.013590797,0,0,0,0,0,0,0,0.159877194,0,0.173467991,0,0,0.013590797
COMMERCIAL,CARR,C-1,,3.03641562,4923,-0.016277366,-0.317408643,0,0,0,0,0,0,0.33368601,-0.000494211,-0.009637111,0,0,0,0,0,0,0.010131321,1.185858815,0,1.185364604,0,0,-0.000494211
COMMERCIAL,CARR,C-2,,2.58114881,4924,0.335088559,-0.335088559,0,0,0,0,0,0,0,0.008648689,-0.008648689,0,0,0,0,0,0,0,0.422797339,0,0.431446028,0,0,0.008648689
COMMERCIAL,CARR,C-2,,0.14307815,4925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMERCIAL,CARR,C-1,,1.61212259,4926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85844416,0,0.85844416,0,0,0
COMMERCIAL,CARR,C-1,,2.95210864,4927,0.410179139,-0.385066131,0,0,0,0,0,0,-0.025113009,0.012108165,-0.011366848,0,0,0,0,0,0,-0.000741316,0.569825052,0,0.581933217,0,0,0.012108165
COMMERCIAL,CARR,C-1,,0.36155108,4928,0.546448087,0,0,0,0,-0.204918033,0,0,-0.341530055,0.001976843,0,0,0,0,-0.000741316,0,0,-0.001235527,0.100324792,0,0.102301636,0,0,0.001976843
COMMERCIAL,CARR,C-1,,0.6765991,4929,1.497990501,-1.497990501,0,0,0,0,0,0,0,0.010131321,-0.010131321,0,0,0,0,0,0,0,0.051645029,0,0.06177635,0,0,0.010131321
COMMERCIAL,CARR,C-1,,0.41145954,4930,2.462462462,-2.462462462,0,0,0,0,0,0,0,0.010131321,-0.010131321,0,0,0,0,0,0,0,0.066471353,0,0.076602674,0,0,0.010131321
COMMERCIAL,CARR,C-1,,0.4326766,4931,3.2,-2.285714286,0,0,0,0,0,0,-0.914285714,0.013837902,-0.009884216,0,0,0,0,0,0,-0.003953686,0.169514304,0,0.183352207,0,0,0.013837902
COMMERCIAL,CARR,C-1,,0.91509204,4932,0.270416441,-0.32449973,0,0,0,0,0,0,0.054083288,0.002471054,-0.002965265,0,0,0,0,0,0,0.000494211,0.776158061,0,0.778629115,0,0,0.002471054
COMMERCIAL,CARR,C-2,,2.63106532,4933,0.28174305,-0.751314801,0,0,0,0,0,0,0.469571751,0.007413162,-0.019768432,0,0,0,0,0,0,0.01235527,0.210533801,0,0.217946963,0,0,0.007413162
COMMERCIAL,CARR,C-2,,2.02129407,4934,0.171023699,-0.171023699,0,0,0,0,0,0,0,0.003459476,-0.003459476,0,0,0,0,0,0,0,0.076602674,0,0.08006215,0,0,0.003459476
COMMERCIAL,CARR,C-2,,0.63383073,4935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092170314,0,0.092170314,0,0,0
COMMERCIAL,CARR,C-2,,2.19589082,4936,0.729845048,-0.572647653,0,0,0,0,0,0,-0.157197395,0.016061851,-0.012602375,0,0,0,0,0,0,-0.003459476,0.175197729,0,0.19125958,0,0,0.016061851
COMMERCIAL,CARR,C-2,,0.43045807,4937,0.343445907,0,0,0,0,-0.114481969,0,0,-0.228963938,0.001482632,0,0,0,0,-0.000494211,0,0,-0.000988422,0.000741316,0,0.002223949,0,0,0.001482632
COMMERCIAL,CARR,C-2,,0.71144093,4938,0.069516858,0,0,0,0,0,0,0,-0.069516858,0.000494211,0,0,0,0,0,0,0,-0.000494211,0.051397923,0,0.051892134,0,0,0.000494211
COMMERCIAL,CARR,C-2,,0.32783955,4939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMERCIAL,CARR,C-2,,2.12110647,4940,0.710624418,-0.652376514,0,0,0,0,0,0,-0.058247903,0.015073429,-0.013837902,0,0,0,0,0,0,-0.001235527,0.147027713,0,0.162101142,0,0,0.015073429
COMMERCIAL,CARR,C-1,,0.57411208,4941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238456711,0,0.238456711,0,0,0
COMMERCIAL,CARR,C-1,,0.24962285,4942,-0.296442688,0,0,0,0,0,0,0,0.296442688,-0.000741316,0,0,0,0,0,0,0,0.000741316,0.070425039,0,0.069683723,0,0,-0.000741316
COMMERCIAL,CARR,C-1,,0.22574754,4943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019274221,0,0.019274221,0,0,0
COMMERCIAL,CARR,C-1,,0.39629034,4944,4.177057357,-2.992518703,0,0,0,-0.311720698,0,0,-0.872817955,0.016556062,-0.011861059,0,0,0,-0.001235527,0,0,-0.003459476,0.069930828,0,0.08648689,0,0,0.016556062
COMMERCIAL,CARR,C-1,,1.35856501,4945,0.345643078,-0.363834819,0,0,0,0,0,0,0.018191741,0.004695003,-0.004942108,0,0,0,0,0,0,0.000247105,0.194224844,0,0.198919847,0,0,0.004695003
COMMERCIAL,CARR,C-1,,0.26243957,4946,1.129943503,-6.403013183,0,0,0,0,0,0,5.27306968,0.002965265,-0.016803167,0,0,0,0,0,0,0.013837902,0.048432658,0,0.051397923,0,0,0.002965265
COMMERCIAL,CARR,C-1,,0.35594226,4947,-0.693962526,-0.693962526,0,0,1.249132547,0,0,0,0.138792505,-0.002471054,-0.002471054,0,0,0.004447897,0,0,0,0.000494211,0.108232165,0,0.105761111,0,0,-0.002471054
COMMERCIAL,CARR,C-1,,0.36036374,4948,0.137080192,-0.137080192,0,0,0,0,0,0,0,0.000494211,-0.000494211,0,0,0,0,0,0,0,0.050409502,0,0.050903712,0,0,0.000494211
COMMERCIAL,CARR,C-1,,0.32231756,4949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149004556,0,0.149004556,0,0,0
COMMERCIAL,CARR,C-1,,0.22602903,4950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.060293718,0,0.060293718,0,0,0
COMMERCIAL,CARR,C-2,,1.10314214,4951,0.493052443,-0.806813088,0,0,0.246526221,0,0,0,0.067234424,0.005436319,-0.008895794,0,0,0.002718159,0,0,0,0.000741316,0.185823261,0,0.19125958,0,0,0.005436319
COMMERCIAL,CARR,C-2,,0.88495708,4952,0.139938427,-0.139938427,0,0,0,0,0,0,0,0.001235527,-0.001235527,0,0,0,0,0,0,0,0.034594756,0,0.035830283,0,0,0.001235527
COMMERCIAL,CARR,C-2,,3.96193552,4953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17297378,0,0.17297378,0,0,0
COMMERCIAL,CARR,C-2,,0.59779029,4954,0,-1.527663088,0,0,1.403798514,0,0,0,0.123864575,0,-0.0091429,0,0,0.008401584,0,0,0,0.000741316,0.064494509,0,0.064494509,0,0,0
COMMERCIAL,CARR,C-1,,0.07974616,4955,5.590062112,-3.416149068,0,0,0,0,0,0,-2.173913043,0.004447897,-0.002718159,0,0,0,0,0,0,-0.001729738,0.009390005,0,0.013837902,0,0,0.004447897
COMMERCIAL,CARR,C-1,,0.6635605,4956,0.260707635,-0.260707635,0,0,0,0,0,0,0,0.001729738,-0.001729738,0,0,0,0,0,0,0,0.527322924,0,0.529052661,0,0,0.001729738
COMMERCIAL,CARR,C-1,,0.64787728,4957,0,-0.228745711,0,0,0.419367137,0,0,0,-0.190621426,0,-0.001482632,0,0,0.002718159,0,0,0,-0.001235527,0.063506088,0,0.063506088,0,0,0
COMMERCIAL,CARR,C-1,,0.21038017,4958,-0.234192037,-9.953161593,0,0,0,0,0,0,10.18735363,-0.000494211,-0.021003959,0,0,0,0,0,0,0.02149817,0.03385344,0,0.033359229,0,0,-0.000494211
COMMERCIAL,CARR,C-1,,0.46082789,4959,0,8.064516129,0,0,0,0,0,0,-8.064516129,0,0.03706581,0,0,0,0,0,0,-0.03706581,0.000494211,0,0.000494211,0,0,0
COMMERCIAL,CARR,C-1,,0.29881115,4960,1.238645747,-1.073492981,0,0,0,0,0,0,-0.165152766,0.003706581,-0.00321237,0,0,0,0,0,0,-0.000494211,0.128494808,0,0.132201389,0,0,0.003706581
COMMERCIAL,CARR,C-1,,0.6875081,4961,0.862998921,-0.862998921,0,0,0,0,0,0,0,0.00593053,-0.00593053,0,0,0,0,0,0,0,0.101313214,0,0.107243744,0,0,0.00593053
COMMERCIAL,CARR,C-1,,1.70717946,4962,1.620839363,-1.620839363,0,0,0,0,0,0,0,0.027675805,-0.027675805,0,0,0,0,0,0,0,0.539925299,0,0.567601104,0,0,0.027675805
COMMERCIAL,CARR,C-1,,0.34067817,4963,0.507614213,-0.145032632,0,0,1.667875272,0,0,0,-2.030456853,0.001729738,-0.000494211,0,0,0.005683424,0,0,0,-0.006918951,0.023475013,0,0.025204751,0,0,0.001729738
COMMERCIAL,CARR,C-1,,0.33371677,4964,0.222222222,-0.222222222,0,0,0,0,0,0,0,0.000741316,-0.000741316,0,0,0,0,0,0,0,0.002471054,0,0.00321237,0,0,0.000741316
COMMERCIAL,CARR,C-1,,0.26902023,4965,2.374429224,-1.278538813,0,0,0.091324201,-1.187214612,0,0,0,0.00642474,-0.003459476,0,0,0.000247105,-0.00321237,0,0,0,0.051892134,0,0.058316874,0,0,0.00642474
COMMERCIAL,CARR,C-1,,0.26100227,4966,-4.261363636,-3.21969697,0,0,7.481060606,0,0,0,0,-0.011119743,-0.008401584,0,0,0.019521327,0,0,0,0,0.153946664,0,0.142826921,0,0,-0.011119743
COMMERCIAL,CARR,C-1,,0.21585427,4967,2.520045819,-1.603665521,0,0,-0.114547537,0,0,0,-0.801832761,0.005436319,-0.003459476,0,0,-0.000247105,0,0,0,-0.001729738,0.054610293,0,0.060046612,0,0,0.005436319
COMMERCIAL,CARR,C-1,,0.13896711,4968,1.598579041,0,0,0,0,0,0,0,-1.598579041,0.002223949,0,0,0,0,0,0,0,-0.002223949,0.001729738,0,0.003953686,0,0,0.002223949
COMMERCIAL,CARR,C-1,,0.59201671,4969,0.959532749,-0.959532749,0,0,-0.041718815,0,0,0,0.041718815,0.005683424,-0.005683424,0,0,-0.000247105,0,0,0,0.000247105,0.122070068,0,0.127753492,0,0,0.005683424
COMMERCIAL,CARR,C-1,,0.09008062,4970,0,0,0,0,6.043956044,0,0,0,-6.043956044,0,0,0,0,0.005436319,0,0,0,-0.005436319,0.0091429,0,0.0091429,0,0,0
COMMERCIAL,CARR,C-1,,0.41548982,4971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.010872638,0,0.010872638,0,0,0
COMMERCIAL,CARR,C-1,,0.32005459,4972,0.231839258,-0.231839258,0,0,0,0,0,0,0,0.000741316,-0.000741316,0,0,0,0,0,0,0,0.000247105,0,0.000988422,0,0,0.000741316
COMMERCIAL,CARR,C-1,,0.35214762,4973,1.264044944,-2.247191011,0,0,0.983146067,0,0,0,0,0.004447897,-0.007907373,0,0,0.003459476,0,0,0,0,0.063258982,0,0.06770688,0,0,0.004447897
COMMERCIAL,CARR,C-1,,0.13867811,4974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066224247,0,0.066224247,0,0,0
COMMERCIAL,CARR,C-1,,0.18909518,4975,-0.651041667,0,0,0,0,0,0,0,0.651041667,-0.001235527,0,0,0,0,0,0,0,0.001235527,0.05584582,0,0.054610293,0,0,-0.001235527
COMMERCIAL,CARR,C-1,,0.35642146,4976,1.454293629,-1.454293629,0,0,0,0,0,0,0,0.005189213,-0.005189213,0,0,0,0,0,0,0,0.007907373,0,0.013096586,0,0,0.005189213
COMMERCIAL,CARR,C-1,,0.12443118,4977,0.596421471,-0.596421471,0,0,0,0,0,0,0,0.000741316,-0.000741316,0,0,0,0,0,0,0,0.006177635,0,0.006918951,0,0,0.000741316
COMMERCIAL,CARR,C-2,,0.62866463,4978,0.746561886,-0.746561886,0,0,0,0,0,0,0,0.004695003,-0.004695003,0,0,0,0,0,0,0,0.112185852,0,0.116880854,0,0,0.004695003
COMMERCIAL,CARR,C-2,,0.43323722,4979,-2.625570776,-0.285388128,0,0,0,0,0,0,2.910958904,-0.011366848,-0.001235527,0,0,0,0,0,0,0.012602375,0.258472248,0,0.2471054,0,0,-0.011366848
COMMERCIAL,CARR,C-2,,0.43980948,4980,1.009534492,-1.009534492,0,0,0,0,0,0,0,0.004447897,-0.004447897,0,0,0,0,0,0,0,0.165560618,0,0.170008515,0,0,0.004447897
COMMERCIAL,CARR,C-2,,0.57158445,4981,0,-0.216450216,0,0,0.562770563,0,0,0,-0.346320346,0,-0.001235527,0,0,0.00321237,0,0,0,-0.001976843,0.04942108,0,0.04942108,0,0,0
COMMERCIAL,CARR,C-1,,0.36781877,4982,0.739247312,-0.537634409,0,0,0,0,0,0,-0.201612903,0.002718159,-0.001976843,0,0,0,0,0,0,-0.000741316,0.023227908,0,0.025946067,0,0,0.002718159
COMMERCIAL,CARR,C-1,,0.31387108,4983,0.865460268,-2.04563336,0,0,1.180173092,0,0,0,0,0.002718159,-0.00642474,0,0,0.003706581,0,0,0,0,0.009637111,0,0.01235527,0,0,0.002718159
COMMERCIAL,CARR,C-1,,0.43085606,4984,0.516351119,0,0,0,0,0,0,0,-0.516351119,0.002223949,0,0,0,0,0,0,0,-0.002223949,0.016556062,0,0.01878001,0,0,0.002223949
COMMERCIAL,CARR,C-1,,0.35520022,4985,-0.347705146,0,0,0,0,0,0,0,0.347705146,-0.001235527,0,0,0,0,0,0,0,0.001235527,0.073143198,0,0.071907671,0,0,-0.001235527
COMMERCIAL,CARR,C-2,,1.08792178,4986,-0.658791458,-0.522489777,0,0,0,0,0,0,1.181281236,-0.007166057,-0.005683424,0,0,0,0,0,0,0.012849481,0.283182788,0,0.276016732,0,0,-0.007166057
COMMERCIAL,CARR,C-1,,0.15231226,4987,1.140065147,-1.140065147,0,0,0,0,0,0,0,0.001729738,-0.001729738,0,0,0,0,0,0,0,0.044973183,0,0.046702921,0,0,0.001729738
COMMERCIAL,CARR,C-1,,0.56277601,4988,1.009657594,-0.877963126,0,0,0.043898156,0,0,0,-0.175592625,0.005683424,-0.004942108,0,0,0.000247105,0,0,0,-0.000988422,0.228078284,0,0.233761708,0,0,0.005683424
COMMERCIAL,CARR,C-2,,0.39025892,4989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32123702,0,0.32123702,0,0,0
COMMERCIAL,CARR,C-1,,0.07283802,4990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0182858,0,0.0182858,0,0,0
COMMERCIAL,CARR,C-1,,0.08000674,4991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009390005,0,0.009390005,0,0,0
COMMERCIAL,CARR,C-1,,0.03172782,4992,4.615384615,-3.846153846,0,0,-0.769230769,0,0,0,0,0.001482632,-0.001235527,0,0,-0.000247105,0,0,0,0,0.006671846,0,0.008154478,0,0,0.001482632
COMMERCIAL,CARR,C-1,,0.16435205,4994,-1.809954751,0,0,0,0,0,0,0,1.809954751,-0.002965265,0,0,0,0,0,0,0,0.002965265,0.086733995,0,0.083768731,0,0,-0.002965265
COMMERCIAL,CARR,C-1,,7.28102224,4995,0.244490475,-0.404088424,0,0,0.078101124,0,0,0,0.081496825,0.017791589,-0.029405543,0,0,0.005683424,0,0,0,0.00593053,0.045220288,0,0.063011877,0,0,0.017791589
COMMERCIAL,CARR,C-1,,0.57725316,4996,-0.428265525,-0.085653105,0,0,-6.638115632,0,0,0,7.152034261,-0.002471054,-0.000494211,0,0,-0.038301337,0,0,0,0.041266602,0.05535161,0,0.052880556,0,0,-0.002471054
COMMERCIAL,CARR,C-1,,0.64816137,4997,0.915331808,-0.915331808,0,0,-0.190694127,0,0,0,0.190694127,0.00593053,-0.00593053,0,0,-0.001235527,0,0,0,0.001235527,0.292819899,0,0.298750429,0,0,0.00593053
COMMERCIAL,CARR,C-1,,0.28658832,4998,0.086281277,-1.035375324,0,0,0,0,0,0,0.949094047,0.000247105,-0.002965265,0,0,0,0,0,0,0.002718159,0.183599312,0,0.183846418,0,0,0.000247105
COMMERCIAL,CARR,C-1,,0.45367227,4999,1.855895197,-1.692139738,0,0,0,-0.163755459,0,0,0,0.008401584,-0.007660267,0,0,0,-0.000741316,0,0,0,0.019274221,0,0.027675805,0,0,0.008401584
COMMERCIAL,CARR,C-2,,0.45326611,5000,0.763775232,-1.745771959,0,0,0.981996727,0,0,0,0,0.003459476,-0.007907373,0,0,0.004447897,0,0,0,0,0.013590797,0,0.017050273,0,0,0.003459476
COMMERCIAL,CARR,C-2,,0.99762297,5001,1.089378559,-1.609309235,0,0,1.039861352,-0.024758604,0,0,-0.495172072,0.010872638,-0.016061851,0,0,0.010378427,-0.000247105,0,0,-0.004942108,0.018532905,0,0.029405543,0,0,0.010872638
COMMERCIAL,CARR,C-1,,0.29609374,5002,1.002506266,-0.835421888,0,0,0,0,0,0,-0.167084378,0.002965265,-0.002471054,0,0,0,0,0,0,-0.000494211,0.039042653,0,0.042007918,0,0,0.002965265
COMMERCIAL,CARR,C-1,,0.23804629,5003,-0.41536864,-3.634475597,0,0,0.41536864,0,0,0,3.634475597,-0.000988422,-0.008648689,0,0,0.000988422,0,0,0,0.008648689,0.091923209,0,0.090934787,0,0,-0.000988422
COMMERCIAL,CARR,C-1,,0.37823124,5004,-0.91443501,-0.130633573,0,0,0.91443501,0,0,0,0.130633573,-0.003459476,-0.000494211,0,0,0.003459476,0,0,0,0.000494211,0.062023455,0,0.05856398,0,0,-0.003459476
COMMERCIAL,CARR,C-1,,0.59075617,5005,1.465661642,-1.926298157,0,0,0.54438861,0,0,0,-0.083752094,0.008648689,-0.011366848,0,0,0.00321237,0,0,0,-0.000494211,0.044973183,0,0.053621872,0,0,0.008648689
COMMERCIAL,CARR,C-1,,0.54643027,5006,0.813743219,-0.949367089,0,0,0.723327306,-0.090415913,0,0,-0.497287523,0.004447897,-0.005189213,0,0,0.003953686,-0.000494211,0,0,-0.002718159,0.064494509,0,0.068942407,0,0,0.004447897
COMMERCIAL,CARR,C-1,,0.65794176,5007,0.901239204,-0.826135937,0,0,0,-0.075103267,0,0,0,0.00593053,-0.005436319,0,0,0,-0.000494211,0,0,0,0.116139538,0,0.122070068,0,0,0.00593053
COMMERCIAL,CARR,C-1,,0.58034958,5008,0.341151386,-0.767590618,0,0,-0.298507463,0,0,0,0.724946695,0.001976843,-0.004447897,0,0,-0.001729738,0,0,0,0.004200792,0.182610891,0,0.184587734,0,0,0.001976843
COMMERCIAL,CARR,C-1,,0.26456889,5009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.261931724,0,0.261931724,0,0,0
COMMERCIAL,CARR,C-1,,1.30001126,5010,0.741163056,-0.494108704,0,0,-0.114025086,0,0,0,-0.133029266,0.009637111,-0.00642474,0,0,-0.001482632,0,0,0,-0.001729738,0.642968251,0,0.652605361,0,0,0.009637111
COMMERCIAL,CARR,C-1,,0.40670667,5011,0.607533414,-0.607533414,0,0,-0.060753341,0,0,0,0.060753341,0.002471054,-0.002471054,0,0,-0.000247105,0,0,0,0.000247105,0.175939045,0,0.178410099,0,0,0.002471054
COMMERCIAL,CARR,C-1,,0.33784364,5012,1.975128018,-1.975128018,0,0,0,0,0,0,0,0.006671846,-0.006671846,0,0,0,0,0,0,0,0.035830283,0,0.042502129,0,0,0.006671846
COMMERCIAL,CARR,C-1,,0.59379634,5013,1.915070774,-1.748542881,0,0,0,0,0,0,-0.166527893,0.011366848,-0.010378427,0,0,0,0,0,0,-0.000988422,0.125282438,0,0.136649286,0,0,0.011366848
COMMERCIAL,CARR,C-1,,0.15153718,5016,6.991869919,-5.528455285,0,0,-0.325203252,0,0,0,-1.138211382,0.010625532,-0.008401584,0,0,-0.000494211,0,0,0,-0.001729738,0.013590797,0,0.024216329,0,0,0.010625532
COMMERCIAL,CARR,C-1,,0.14179099,5018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113668484,0,0.113668484,0,0,0
COMMERCIAL,CARR,C-1,,0.21969198,5019,2.13963964,-2.13963964,0,0,0,0,0,0,0,0.004695003,-0.004695003,0,0,0,0,0,0,0,0.001482632,0,0.006177635,0,0,0.004695003
COMMERCIAL,CARR,C-1,,0.39831113,5020,-0.309789343,0,0,0,0,0,0,0,0.309789343,-0.001235527,0,0,0,0,0,0,0,0.001235527,0.070672144,0,0.069436617,0,0,-0.001235527
COMMERCIAL,CARR,C-1,,1.47019936,5021,0.470430108,-0.470430108,0,0,0,0,0,0,0,0.006918951,-0.006918951,0,0,0,0,0,0,0,0.218688279,0,0.22560723,0,0,0.006918951
COMMERCIAL,CARR,C-1,,0.92768367,5022,0.794491525,-1.906779661,0,0,0.953389831,0,0,0,0.158898305,0.007413162,-0.017791589,0,0,0.008895794,0,0,0,0.001482632,0.203120639,0,0.210533801,0,0,0.007413162
COMMERCIAL,CARR,C-1,,0.78149355,5023,2.29226361,-1.496338746,0,0,-0.031836995,-0.159184973,0,0,-0.604902897,0.017791589,-0.011613954,0,0,-0.000247105,-0.001235527,0,0,-0.004695003,0.141344289,0,0.159135878,0,0,0.017791589
COMMERCIAL,CARR,C-1,,0.31593992,5024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.093158736,0,0.093158736,0,0,0
COMMERCIAL,CARR,C-1,,0.50391236,5025,0.734933856,0,0,0,0,-0.685938266,0,0,-0.04899559,0.003706581,0,0,0,0,-0.003459476,0,0,-0.000247105,0.016061851,0,0.019768432,0,0,0.003706581
COMMERCIAL,CARR,C-1,,0.40041484,5026,0.806451613,0,0,0,0,-0.558312655,0,0,-0.248138958,0.00321237,0,0,0,0,-0.002223949,0,0,-0.000988422,0.048679764,0,0.051892134,0,0,0.00321237
COMMERCIAL,CARR,C-1,,0.54808374,5027,0.449640288,-0.494604317,0,0,0,0,0,0,0.044964029,0.002471054,-0.002718159,0,0,0,0,0,0,0.000247105,0.177174572,0,0.179645626,0,0,0.002471054
COMMERCIAL,CARR,C-1,,0.61340268,5028,0.60483871,-0.60483871,0,0,0,0,0,0,0,0.003706581,-0.003706581,0,0,0,0,0,0,0,0.03113528,0,0.034841861,0,0,0.003706581
COMMERCIAL,CARR,C-2,,2.52755147,5029,0.469391747,-0.469391747,0,0,0,0,0,0,0,0.011861059,-0.011861059,0,0,0,0,0,0,0,0.213993276,0,0.225854336,0,0,0.011861059
COMMERCIAL,CARR,C-1,,1.0022307,5030,0.295493721,-0.295493721,0,0,0,0,0,0,0,0.002965265,-0.002965265,0,0,0,0,0,0,0,0.396851272,0,0.399816537,0,0,0.002965265
COMMERCIAL,CARR,C-1,,0.18422089,5031,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019027116,0,0.019027116,0,0,0
COMMERCIAL,CARR,C-1,,0.18439727,5032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038548442,0,0.038548442,0,0,0
COMMERCIAL,CARR,C-1,,0.22230211,5033,-0.998890122,0.110987791,0,0,0,0,0,0,0.887902331,-0.002223949,0.000247105,0,0,0,0,0,0,0.001976843,0.158888772,0,0.156664824,0,0,-0.002223949
COMMERCIAL,CARR,C-1,,5.43139456,5034,0.404876717,-0.404876717,0,0,0,0,0,0,0,0.021992381,-0.021992381,0,0,0,0,0,0,0,0.166796145,0,0.188788526,0,0,0.021992381
COMMERCIAL,CARR,C-1,,0.3910124,5035,-0.505689001,-0.442477876,0,0,0,0,0,0,0.948166877,-0.001976843,-0.001729738,0,0,0,0,0,0,0.003706581,0.027181594,0,0.025204751,0,0,-0.001976843
COMMERCIAL,CARR,C-1,,0.32288025,5036,2.748091603,-2.748091603,0,0,0,0,0,0,0,0.008895794,-0.008895794,0,0,0,0,0,0,0,0.056340031,0,0.065235826,0,0,0.008895794
COMMERCIAL,CARR,C-1,,2.01792234,5037,0.808625337,-0.661602548,0,0,0,0,0,0,-0.147022789,0.016308956,-0.013343692,0,0,0,0,0,0,-0.002965265,0.315553596,0,0.331862552,0,0,0.016308956
COMMERCIAL,CARR,C-1,,0.4047328,5038,0.733048259,-0.733048259,0,0,0,0,0,0,0,0.002965265,-0.002965265,0,0,0,0,0,0,0,0.187800104,0,0.190765369,0,0,0.002965265
COMMERCIAL,CARR,C-1,,0.11994277,5039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.029899753,0,0.029899753,0,0,0
COMMERCIAL,CARR,C-1,,0.41631725,5040,3.264094955,-3.204747774,0,0,-0.059347181,0,0,0,0,0.013590797,-0.013343692,0,0,-0.000247105,0,0,0,0,0.096124001,0,0.109714798,0,0,0.013590797
